indicator,year_raw,value,year
자연증가건수(명),1970,748056.0,1970
자연증가건수(명),1971,787245.0,1971
자연증가건수(명),1972,742709.0,1972
자연증가건수(명),1973,698061.0,1973
자연증가건수(명),1974,674016.0,1974
자연증가건수(명),1975,603373.0,1975
자연증가건수(명),1976,529474.0,1976
자연증가건수(명),1977,576085.0,1977
자연증가건수(명),1978,498430.0,1978
자연증가건수(명),1979,622683.0,1979
자연증가건수(명),1980,585551.0,1980
자연증가건수(명),1981,629928.0,1981
자연증가건수(명),1982,602545.0,1982
자연증가건수(명),1983,514592.0,1983
자연증가건수(명),1984,438348.0,1984
자연증가건수(명),1985,415071.0,1985
자연증가건수(명),1986,396763.0,1986
자연증가건수(명),1987,380327.0,1987
자연증가건수(명),1988,397313.0,1988
자연증가건수(명),1989,402613.0,1989
자연증가건수(명),1990,408122.0,1990
자연증가건수(명),1991,467005.0,1991
자연증가건수(명),1992,494516.0,1992
자연증가건수(명),1993,481569.0,1993
자연증가건수(명),1994,478746.0,1994
자연증가건수(명),1995,472182.0,1995
자연증가건수(명),1996,450077.0,1996
자연증가건수(명),1997,430701.0,1997
자연증가건수(명),1998,395769.0,1998
자연증가건수(명),1999,372934.0,1999
자연증가건수(명),2000,391349.0,2000
자연증가건수(명),2001,316121.0,2001
자연증가건수(명),2002,249387.0,2002
자연증가건수(명),2003,248573.0,2003
자연증가건수(명),2004,230738.0,2004
자연증가건수(명),2005,192833.0,2005
자연증가건수(명),2006,207597.0,2006
자연증가건수(명),2007,250340.0,2007
자연증가건수(명),2008,219779.0,2008
자연증가건수(명),2009,197907.0,2009
자연증가건수(명),2010,214766.0,2010
자연증가건수(명),2011,213869.0,2011
자연증가건수(명),2012,217329.0,2012
자연증가건수(명),2013,170198.0,2013
자연증가건수(명),2014,167743.0,2014
자연증가건수(명),2015,162525.0,2015
자연증가건수(명),2016,125416.0,2016
자연증가건수(명),2017,72237.0,2017
자연증가건수(명),2018,28002.0,2018
자연증가건수(명),2019,7566.0,2019
자연증가건수(명),2020,-32611.0,2020
자연증가건수(명),2021,-57118.0,2021
자연증가건수(명),2022,-123753.0,2022
자연증가건수(명),2023,-122483.0,2023
자연증가건수(명),2024,-120252.0,2024
자연증가건수(명),2025 p),-108931.0,2025
자연증가율(천명당),1970,23.2,1970
자연증가율(천명당),1971,23.9,1971
자연증가율(천명당),1972,22.2,1972
